STRUC_Easting,STRUC_Northing,STRUC_Elevation,Leapfrog Dip,Leapfrog Dip Direction,Mute Flag
9366.29,5973.06,3718.83,40.607,12.725,3
9365.48,5971.66,3703.12,40.961,22.48,3
9374.32,5990.39,3910.45,45.661,44.495,M
9372.9,5992.74,3866.33,46.919,199.681,M
9372.73,5992.95,3862.14,47.875,103.739,M
9372.53,5993.19,3857.25,51.048,68.05,M
9370.26,5995.37,3809.05,36.542,63.368,1
9370.09,5995.48,3805.86,45.761,49.107,1
9369.94,5995.58,3803.07,46.94,67.572,M
9369.78,5995.69,3800.07,36.966,67.545,M
9369.46,5995.91,3794.09,47.167,67.646,1
9369.29,5996.02,3791.04,42.268,68.3,M
9369.09,5996.1,3787.5,42.399,69.068,3
9368.97,5996.15,3785.5,37.173,63.757,3
9368.42,5996.37,3775.97,47.862,73.797,1
9367.66,5996.66,3763.75,38.218,78.141,3
9367.48,5996.73,3760.96,48.236,76.975,M
9367.1,5996.87,3754.92,38.306,76.171,M
9366.71,5996.98,3749.03,38.1,68.153,1
9366.52,5997.02,3746.34,38.308,71.665,M
9366.3,5997.07,3743.05,63.472,73.412,M
9363.49,5997.01,3710.22,36.401,74.99,M
9363.3,5996.94,3708.69,40.79,47.848,3
9362.43,5996.61,3701.45,47.078,82.46,1
9361.7,5996.33,3695.35,42.731,79.542,3
9361.34,5996.2,3692.32,47.623,87.425,3
9358.77,5994.88,3674.86,44.637,72.843,M
9381.14,5926.39,3934.54,37.716,52.3,M
9379.58,5926.22,3931.36,35.218,59.779,M
9370.2,5925.11,3912.48,34.687,71.794,1
9364.51,5924.41,3900.93,52.785,59.103,M
9363.36,5924.27,3898.6,56.468,82.863,1
9362.21,5924.13,3896.27,52.753,44.213,M
9343.59,5921.82,3858.7,35.752,36.351,M
9337.65,5921.01,3846.6,34.297,107.87,1
9335.31,5920.7,3841.86,41.877,59.19,3
9332.85,5920.36,3836.84,44.099,65.926,3
9329.12,5919.86,3829.22,37.549,63.285,M
9327.13,5919.59,3825.14,46.012,86.982,3
9325.06,5919.31,3820.87,45.42,72.771,M
9323.88,5919.14,3818.44,43.249,63.495,M
