Easting,Northing,Elevation,DipAngle,DipDirection
8722.50237,6450.599202,4574.505697,46.99595308,57.68772765
8735.183233,6387.435832,4597.008626,46.16695703,61.04635429
8778.564982,6355.888102,4574.503052,45.24374411,59.36660161
8791.849818,6287.285075,4589.487712,41.98236845,72.77308338
8836.996694,6258.156006,4559.155843,41.10866041,71.91762361
8845.697322,6200.027669,4569.480347,41.29460491,67.37781802
8884.254748,6170.730632,4547.694987,41.69016606,68.10058811
8891.841886,6114.520345,4558.918254,40.64889064,71.1305589
8934.619922,6084.82373,4530.325684,42.89803025,74.27956525
8942.706422,6032.086995,4540.116455,44.56187102,67.70277514
8985.845282,6002.985657,4511.472127,44.73924819,68.00952055
8995.035426,5944.834269,4522.862386,44.364341,71.20124703
9040.562271,5913.033895,4490.697144,44.39669817,71.24702211
9039.735778,5849.698588,4507.861043,43.06233167,77.85939731
9079.606506,5817.44519,4477.854329,42.99611454,77.72905587
9083.674667,5764.547628,4483.027507,42.54410229,81.75866436
9130.007833,5734.850993,4445.694092,41.61330455,80.6575418
9133.577922,5676.717265,4449.759847,41.21612057,82.97955622
9174.891886,5646.141154,4418.75529,39.31003049,80.7927715
9178.484416,5587.592875,4423.133545,39.30289157,81.68119675
9220.752106,5557.755473,4393.747233,37.75244028,79.76272138
9222.872381,5494.524231,4400.727091,37.72526792,80.01986185
9264.774373,5461.714223,4374.39506,36.29410247,78.10435523
9268.94337,5401.896413,4380.168294,36.18983208,78.84829145
9313.204956,5372.199788,4353.673747,34.8840423,77.05889139
9318.419271,5315.243001,4358.375448,34.72379466,78.85347966
9359.497843,5292.812673,4334.111857,33.68999642,77.31905935
9362.784414,5233.907354,4339.317139,33.78432363,80.70211073
9408.092448,5203.288742,4313.43693,32.87522879,79.7951373
9414.239197,5137.249919,4315.484172,32.48351448,84.57771623
9459.622457,5104.777229,4288.437988,32.77845474,84.96887468
9459.235647,5043.966249,4290.234863,32.48700915,90.42295692
9502.403717,5014.269624,4262.193848,33.08361144,91.11360137
9500.458923,4956.728463,4261.236532,33.35661849,95.59917004
9541.662028,4927.759628,4231.391032,34.8381917,96.81427684
9538.87498,4868.366379,4227.449585,34.97405516,99.54686485
9577.332784,4842.985504,4196.98173,36.65753646,100.6309075
9574.487427,4784.390015,4190.370931,36.91268176,102.1005586
9612.956075,4755.718043,4156.591024,38.39109097,102.6525277
9609.947347,4692.445099,4147.889119,38.40662874,102.7619257
9647.281474,4665.601593,4113.842448,39.13423156,103.1336131
9641.483215,4608.655874,4108.14978,39.04048088,102.5322176
9654.171773,4582.431427,4093.490438,39.04052953,102.5322484
8553.809845,6703.007406,4605.072266,33.16691315,75.62890685
8594.220846,6734.179647,4574.49117,33.07485714,75.68370696
8634.138031,6709.086507,4551.470378,35.40574374,79.19208637
8674.674632,6738.783122,4519.707926,34.68442409,79.58018717
8717.718277,6710.272664,4493.096354,35.83206819,81.14185079
8759.547892,6742.758748,4460.753784,34.23706259,82.30839654
8804.203618,6713.062134,4434.81665,32.46291776,79.71853718
8846.376808,6740.974691,4403.601685,34.99521434,78.00537333
8892.861883,6709.850382,4377.492065,33.6471593,75.90626014
8932.67307,6739.546997,4344.703695,37.11710504,73.84445845
8978.363435,6711.828532,4318.316732,35.95670523,72.16754728
9013.583079,6738.799886,4286.573649,38.53598071,70.82938592
9063.771526,6701.866455,4261.224121,36.15730918,67.03810535
9101.036048,6729.733846,4226.68099,38.24578375,66.02982147
9150.493479,6703.401611,4200.862345,36.48279038,63.62796475
9179.973668,6746.454061,4166.81958,37.04607516,63.48021568
9229.61233,6723.140177,4140.877401,37.33108771,63.87638211
9264.380269,6749.870239,4107.903239,37.72601121,63.67245104
9319.186513,6706.669759,4082.817261,39.39639688,66.32449524
9353.859263,6729.719849,4049.922689,38.35607919,66.80608884
9403.083099,6702.597534,4020.892253,40.49169409,69.33295327
9437.136587,6743.593018,3982.18453,39.44644965,69.80893045
9481.424469,6715.629924,3954.852315,40.69150132,71.57598219
9520.202525,6738.730143,3917.509847,39.81688314,71.7939366
9561.973206,6705.119507,3892.654236,40.32055827,73.01556534
9600.035319,6733.319987,3854.660889,40.46451257,72.95218128
9637.604451,6706.723511,3830.627991,40.51176713,73.02967036
9674.297953,6737.165568,3792.571533,41.17134599,72.92121659
9715.733785,6709.198486,3765.024902,41.26606147,73.05867009
9754.656006,6747.769084,3721.468933,42.50315521,72.52117801
9796.927511,6718.100911,3692.289469,42.90960795,73.09268408
9831.638448,6746.644613,3653.15035,43.73948068,72.88556794
9872.843709,6716.837769,3623.145182,44.47493291,73.87069571
9905.419759,6740.789551,3585.499329,45.11189269,73.45397418
9946.208191,6711.092936,3554.092997,45.74394036,74.30276944
9979.224752,6736.928263,3513.638255,46.42907652,73.83542524
10019.84776,6707.961955,3480.384054,47.11283236,74.72231524
